Name,Price,SellDate,Date,Condition,Mileage,Origin,Body Type,Engine Type,Color,Color inside,Seats,Doors,City
Xe Toyota Corolla Cross 1.8G 2023 - 750 Trieu,750 Trieu,4/11/2024,2023,Xe da dung,"11,000 Km",Nhap khau,SUV,Xang 1.8 L,Trang,Den,5 cho,5 cua,Ha Noi
Xe Kia Carnival Signature 2.2D 2022 - 1 Ty 250 Trieu,1 Ty 250 Trieu,4/11/2024,2022,Xe da dung,"19,000 Km",Lap rap trong nuoc,Van/Minivan,Dau 2.2 L,Xanh,Nau,7 cho,5 cua,Ha Noi
Xe Ford Everest Titanium 2.0L 4x2 AT 2019 - 875 Trieu,875 Trieu,4/11/2024,2019,Xe da dung,"60,000 Km",Nhap khau,SUV,Dau 2.0 L,Trang,Den,7 cho,5 cua,Ha Noi
Xe Mercedes Benz GLC 200 4Matic 2020 - 1 Ty 468 Trieu,1 Ty 468 Trieu,4/11/2024,2020,Xe da dung,"26,000 Km",Lap rap trong nuoc,SUV,Xang 2.0 L,Den,Kem,5 cho,5 cua,Ha Noi
Xe Mini Cooper S 5Dr 2015 - 870 Trieu,870 Trieu,4/11/2024,2015,Xe da dung,"60,000 Km",Nhap khau,Hatchback,Xang 2.0 L,Cam,Den,5 cho,5 cua,Ha Noi
Xe LandRover Range Rover Autobiography 5.0 2014 - 2 Ty 299 Trieu,2 Ty 299 Trieu,4/11/2024,2014,Xe da dung,"96,000 Km",Nhap khau,SUV,Xang 5.0 L,Den,Nau,4 cho,5 cua,Ha Noi
Xe Hyundai Elantra Sport 1.6 AT 2019 - 520 Trieu,520 Trieu,4/11/2024,2019,Xe da dung,"75,000 Km",Lap rap trong nuoc,Sedan,Xang 1.6 L,Trang,Den,5 cho,4 cua,Ha Noi
Xe Toyota Vios 1.5E CVT 2020 - 430 Trieu,430 Trieu,4/11/2024,2020,Xe da dung,0 Km,Lap rap trong nuoc,Sedan,Xang 1.5 L,Den,Kem,5 cho,4 cua,Ha Noi
Xe Kia Sorento GATH 2015 - 485 Trieu,485 Trieu,4/11/2024,2015,Xe da dung,"40,000 Km",Lap rap trong nuoc,SUV,Xang 2.4 L,Trang,Den,7 cho,5 cua,Ha Noi
Xe Chevrolet Spark LTZ 1.0 AT Zest 2014 - 195 Trieu,195 Trieu,4/11/2024,2014,Xe da dung,"60,000 Km",Lap rap trong nuoc,Hatchback,Xang 1.0 L,Do,Nhieu mau,5 cho,5 cua,Ha Noi
Xe Hyundai Elantra 2.0 AT 2020 - 509 Trieu,509 Trieu,4/11/2024,2020,Xe da dung,"30,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Kem,5 cho,4 cua,Ha Noi
Xe Peugeot 3008 1.6 AT 2016 - 398 Trieu,398 Trieu,4/11/2024,2016,Xe da dung,"80,000 Km",Lap rap trong nuoc,Crossover,Xang 1.6 L,Trang,Den,5 cho,5 cua,Ha Noi
Xe VinFast Lux SA 2.0 Plus 2.0 AT 2019 - 658 Trieu,658 Trieu,4/11/2024,2019,Xe da dung,"30,000 Km",Lap rap trong nuoc,SUV,Xang 2.0 L,Do,-,7 cho,5 cua,Ha Noi
Xe Porsche Macan 2.0 2021 - 3 Ty 250 Trieu,3 Ty 250 Trieu,4/11/2024,2021,Xe da dung,"15,000 Km",Nhap khau,SUV,Xang 2.0 L,Den,Kem,5 cho,5 cua,Ha Noi
Xe Peugeot 3008 1.6 AT 2019 - 650 Trieu,650 Trieu,4/11/2024,2019,Xe da dung,"63,000 Km",Lap rap trong nuoc,Crossover,Xang 1.6 L,Den,Den,5 cho,5 cua,Ha Noi
Xe Mercedes Benz GLC 250 4Matic 2018 - 999 Trieu,999 Trieu,4/11/2024,2018,Xe da dung,"70,000 Km",Lap rap trong nuoc,SUV,Xang 2.0 L,Den,Nau,5 cho,5 cua,Ha Noi
Xe Mazda 6 2.0 AT 2015 - 399 Trieu,399 Trieu,4/11/2024,2015,Xe da dung,"90,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Xanh,Den,5 cho,4 cua,Ha Noi
Xe Hyundai Creta Cao cap 1.5 AT 2022 - 635 Trieu,635 Trieu,4/11/2024,2022,Xe da dung,0 Km,Nhap khau,Crossover,Xang 1.5 L,Xanh,Den,5 cho,5 cua,Ha Noi
Xe Mercedes Benz GLS 450 4Matic 2020 - 3 Ty 600 Trieu,3 Ty 600 Trieu,4/11/2024,2020,Xe da dung,"80,000 Km",Nhap khau,SUV,Xang 3.0 L,Xanh,Nau,7 cho,5 cua,Ha Noi
